source,gsw,nfw,raw,target,born,icpsr,n_au,n_bills,n_co,nyears,party,sex,state,thomas,senate
Joseph R. Biden Jr.,NA,NA,NA,NA,1942,14101,0,1,1,36,DEM,M,DE,01284,111
Judd A. Gregg,NA,NA,NA,NA,1947,14826,9,111,102,12,REP,M,NH,00466,111
Kay Bailey Hutchison,0.5345873341286663,7.272268907563025,15,John Cornyn,1943,49306,20,191,171,14,REP,F,TX,01368,111
Kay Hagan,0.4077669902912621,0.01639344262295082,1,Hillary Rodham Clinton,1953,40907,19,188,169,0,DEM,F,NC,01902,111
Kay Hagan,0.4211773509603392,10.233333333333333,13,Richard M. Burr,1953,40907,19,188,169,0,DEM,F,NC,01902,111
Ken Salazar,NA,NA,NA,NA,1955,40500,6,11,5,0,DEM,M,CO,01762,111
Kent Kent Conrad,0.4077669902912621,0.01639344262295082,1,Hillary Rodham Clinton,1948,15502,15,136,121,20,DEM,M,ND,01307,111
Kirsten E. Gillibrand,0.33771655539592665,1.5346390168970814,6,Alan Stuart Franken,1966,20735,43,492,449,0,DEM,F,NY,01866,111
Kirsten E. Gillibrand,1,0.04020296643247463,2,Hillary Rodham Clinton,1966,20735,43,492,449,0,DEM,F,NY,01866,111
Kirsten E. Gillibrand,0.35304722176420805,0.8185618030583706,12,Edward M. Kennedy,1966,20735,43,492,449,0,DEM,F,NY,01866,111
Kirsten E. Gillibrand,0.5555859817696722,36.3010236625879,66,Charles E. Schumer,1966,20735,43,492,449,0,DEM,F,NY,01866,111
Kirsten E. Gillibrand,0.3059975520195839,1.0101010101010102,2,Robert C. Byrd,1966,20735,43,492,449,0,DEM,F,NY,01866,111
Lamar Alexander,0.8183856502242153,3.4761904761904763,5,Bob Corker,1940,40304,25,178,153,6,REP,M,TN,01695,111
Lamar Alexander,0.4077669902912621,0.01639344262295082,1,Hillary Rodham Clinton,1940,40304,25,178,153,6,REP,M,TN,01695,111
Lamar Alexander,0.8847560384043234,0.7176554382436735,5,Jim Bunning,1940,40304,25,178,153,6,REP,M,TN,01695,111
Lindsey O. Graham,0.2691806261606858,1.4027126099706744,7,Jim W. DeMint,1955,29566,14,172,158,6,REP,M,SC,00452,111
Lindsey O. Graham,0.4077669902912621,0.01639344262295082,1,Hillary Rodham Clinton,1955,29566,14,172,158,6,REP,M,SC,00452,111
Lisa A. Murkowski,0.4077669902912621,0.01639344262295082,1,Hillary Rodham Clinton,1957,40300,36,226,190,2,REP,F,AK,01694,111
Lisa A. Murkowski,0.6144578313253012,4.25,7,Mark Begich,1957,40300,36,226,190,2,REP,F,AK,01694,111
Maria Cantwell,1,0.04020296643247463,2,Hillary Rodham Clinton,1958,39310,37,262,225,6,DEM,F,WA,00172,111
Maria Cantwell,0.5423143555545008,14.193478260869565,19,Patty Murray,1958,39310,37,262,225,6,DEM,F,WA,00172,111
Mark Begich,0.7540090109908301,14.41003996003996,25,Lisa A. Murkowski,1962,40900,14,395,381,0,DEM,M,AK,01898,111
Mark Begich,0.30552763917157616,2.0854545454545454,4,John Thune,1962,40900,14,395,381,0,DEM,M,AK,01898,111
Mark Begich,1,0.04020296643247463,2,Hillary Rodham Clinton,1962,40900,14,395,381,0,DEM,M,AK,01898,111
Mark E. Udall,0.4077669902912621,0.01639344262295082,1,Hillary Rodham Clinton,1950,29906,35,227,192,0,DEM,M,CO,01595,111
Mark E. Udall,0.5279359650205399,5.9412698412698415,11,Michael F. Bennet,1950,29906,35,227,192,0,DEM,M,CO,01595,111
